label,probe_group,Δ,x,g,E,N,cutoff_budget_exceeded,trunc_tol,ss_ilu_tau,ss_rebuild_niter,ss_converged,ss_iterations,ss_rebuilds,trace_error,hermiticity_error,liouvillian_residual,relative_liouvillian_residual,c1,c2,c3,Fano,current_check,fcs_retry,fcs_warnings,liouvillian_seconds,preconditioner_seconds,ilu_seconds,gmres_seconds,fcs_seconds,total_seconds,n,occupation_fraction,cutoff_status,cavity_boundary,cavity_tail,cavity_tail5
"fcs Δ=0.0, x=0.61",fixed g drive sweep,0.0,0.61,14.0,4.27,150,false,0.0001,0.1,80,true,28,0,3.759437205985705e-12,6.153529635972878e-12,2.1562785017056125e-11,4.848844279384198e-19,0.0922941467517855,1.1416765842526748,24.61449685773148,12.369978210244282,0.9999999999999997,false,0,0.017636375,0.0,0.0,0.283328667,0.671259417,0.981950709,0.09229414675178553,0.0006152943116785702,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.62",fixed g drive sweep,0.0,0.62,14.0,4.34,150,false,0.0001,0.1,80,true,31,0,7.219780329137393e-12,6.1760167442024e-12,2.1364581395455737e-11,4.803448108358054e-19,0.10468930019454004,1.3731158815290443,31.676841122127986,13.116105265556621,1.0000000000000002,false,0,0.161210083,0.0,0.0,0.374822541,0.64339,1.187412833,0.10468930019454002,0.0006979286679636001,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.63",fixed g drive sweep,0.0,0.63,14.0,4.41,150,false,0.0001,0.1,80,true,34,0,1.2986722808250306e-11,4.796152426203486e-12,1.5981058113308605e-11,3.5939784898793013e-19,0.11876713801658044,1.6523189744573121,40.78570537874745,13.912257229155768,0.9999999999999996,false,0,0.040502,0.0,0.0,0.492788041,1.304511375,1.84519425,0.1187671380165805,0.0007917809201105367,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.64",fixed g drive sweep,0.0,0.64,14.0,4.48,150,false,0.0001,0.1,80,true,36,0,2.0291102131864136e-11,7.829138041131196e-12,2.2826950696180824e-11,5.137255673123058e-19,0.13476140368366524,1.9892101935903526,52.53293806775636,14.760978583005585,0.9999999999999993,false,0,0.050057083,0.0,0.0,0.528386459,0.820945,1.409257541,0.13476140368366532,0.0008984093578911021,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.65",fixed g drive sweep,0.0,0.65,14.0,4.55,150,false,0.0001,0.1,80,true,39,0,4.163380751265322e-11,7.492593351296123e-12,2.4180306419293477e-11,5.4485154990374355e-19,0.1529387814446002,2.3957488559180438,67.67860578916306,15.664757056965751,1.0000000000000004,false,0,0.01786525,0.0,0.0,0.381911583,1.06713925,1.473962042,0.15293878144460016,0.0010195918762973344,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.66",fixed g drive sweep,0.0,0.66,14.0,4.62,150,false,0.0001,0.1,80,true,42,0,7.40896233253352e-12,7.71491297585228e-12,2.4083271338651718e-11,5.436307112417289e-19,0.17360347436169962,2.8863276625354017,87.19700614343613,16.62597867437717,0.9999999999999997,false,0,0.022123958,0.0,0.0,0.53384625,1.079564958,1.642909833,0.17360347436169968,0.0011573564957446645,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.67",fixed g drive sweep,0.0,0.67,14.0,4.69,150,false,0.0001,0.1,80,true,45,0,4.601874437071274e-13,8.79221555332747e-12,2.6263383105570202e-11,5.942527515378127e-19,0.1971023762838349,3.4782409738275524,112.33439326669371,17.646874885053407,1.0,false,0,0.209201375,0.0,0.0,0.510396291,0.9510715,1.677628541,0.1971023762838349,0.0013140158418922326,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.68",fixed g drive sweep,0.0,0.68,14.0,4.760000000000001,150,false,0.0001,0.1,80,true,49,0,1.8415047264852547e-11,7.550759137321423e-12,2.377642878125651e-11,5.396122651968504e-19,0.22383090005823938,4.192232226150749,144.6810625975738,18.729461504465903,1.0,false,0,0.180836459,0.0,0.0,0.452172875,0.95914775,1.601456209,0.22383090005823938,0.0014922060003882626,safe,0.0,0.0,1.687781229129189e-26
"fcs Δ=0.0, x=0.69",fixed g drive sweep,0.0,0.69,14.0,4.83,150,false,0.0001,0.1,80,true,53,0,2.4453772340393698e-12,8.54817001746517e-12,2.9076360803597164e-11,6.623646695155416e-19,0.2542395274062804,5.05312958561074,186.26077362572798,19.875467977627753,1.0000000000000004,false,0,0.037331875,0.0,0.0,0.625362792,1.311980166,1.981614875,0.2542395274062803,0.0016949301827085355,safe,3.931684202292189e-27,2.4019564264972872e-26,7.593889852875629e-25
"fcs Δ=0.0, x=0.7",fixed g drive sweep,0.0,0.7,14.0,4.8999999999999995,150,false,0.0001,0.1,80,true,57,0,5.163147687170522e-11,1.1023146721517579e-11,3.718133281606614e-11,8.508204741051269e-19,0.28884114858850646,6.0905789894601865,239.64108663147482,21.086258032220492,1.0,false,0,0.17025225,0.0,0.0,0.748467666,1.495208,2.422950458,0.28884114858850646,0.0019256076572567097,safe,1.5047164267339371e-25,7.297265355913347e-25,1.3146833670883762e-23
"fcs Δ=0.0, x=0.71",fixed g drive sweep,0.0,0.71,14.0,4.97,150,false,0.0001,0.1,80,true,62,0,5.215095022492733e-11,1.2119310639562535e-11,3.5913796543774915e-11,8.2621476428780115e-19,0.3282192593805413,7.339882206798606,308.06846308929755,22.36274075034902,0.9999999999999994,false,0,0.037609542,0.0,0.0,0.750378667,1.426656625,2.221870708,0.3282192593805415,0.0021881283958702764,safe,2.5865689310913787e-24,1.145272451516551e-23,1.4400342251927146e-22
"fcs Δ=0.0, x=0.72",fixed g drive sweep,0.0,0.72,14.0,5.04,150,false,0.0001,0.1,80,true,67,0,2.1947221817697482e-11,1.4010990532521393e-11,4.208695191088537e-11,9.742976340174814e-19,0.37303708436819627,8.842946152989075,395.6325627404431,23.705273613657354,1.0,false,0,0.037377666,0.0,0.0,0.807192459,1.457450041,2.309732,0.37303708436819627,0.002486913895787975,safe,2.3345287481411804e-23,9.550378055140257e-23,7.880622864226243e-22
"fcs Δ=0.0, x=0.73",fixed g drive sweep,0.0,0.73,14.0,5.109999999999999,150,false,0.0001,0.1,80,true,73,0,3.490308042586321e-11,1.2148917815275717e-11,4.426264767827716e-11,1.0320991875275616e-18,0.4240476918117073,10.64934622924272,507.464366831709,25.113557825876388,0.9999999999999996,false,0,0.213387833,0.0,0.0,0.727449375,1.625858417,2.574287541,0.4240476918117075,0.00282698461207805,safe,7.244573743822384e-23,2.073250739384658e-22,2.080126090527262e-22
"fcs Δ=0.0, x=0.74",fixed g drive sweep,0.0,0.74,14.0,5.18,150,false,0.0001,0.1,80,true,80,0,9.369394149416621e-11,1.4190150105734689e-11,4.413530173661734e-11,1.037703321441301e-18,0.482105165043333,12.817502546955657,649.9730604792372,26.58652816093265,1.0000000000000016,false,0,0.039525583,0.0,0.0,0.947971958,1.725220167,2.724900125,0.48210516504333223,0.0032140344336222147,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.75",fixed g drive sweep,0.0,0.75,14.0,5.25,150,false,0.0001,0.1,80,true,90,1,7.172040739078511e-14,7.192249231260137e-15,2.8762063646780477e-14,6.826713515898e-22,0.5481768896818764,15.415961711462572,831.126666658956,28.122239374974235,1.0000000000000002,false,0,0.036602292,1.114543416,1.114543416,1.0885544580000002,0.26597475,2.6799055,0.5481768896818763,0.0036545125978791754,safe,1.764634020328679e-21,7.329671930902915e-21,8.537971192431876e-20
